shelf_id,slot_id,is_compliant,error_type,x_coord,y_coord
A1-B1,1,1,None,1,1
A1-B1,2,1,None,2,1
A1-B1,3,1,None,3,1
A1-B1,4,1,None,4,1
A1-B1,5,1,None,5,1
A1-B1,6,1,None,6,1
A1-B1,7,0,Misplaced,7,1
A1-B1,8,0,Misplaced,8,1
A1-B1,9,1,None,9,1
A1-B1,10,1,None,10,1
A1-B2,1,1,None,1,2
A1-B2,2,1,None,2,2
A1-B2,3,1,None,3,2
A1-B2,4,1,None,4,2
A1-B2,5,1,None,5,2
A1-B2,6,1,None,6,2
A1-B2,7,1,None,7,2
A1-B2,8,0,Wrong Label,8,2
A1-B2,9,1,None,9,2
A1-B2,10,1,None,10,2
A2-B1,1,1,None,1,1
A2-B1,2,1,None,2,1
A2-B1,3,1,None,3,1
A2-B1,4,1,None,4,1
A2-B1,5,1,None,5,1
A2-B1,6,1,None,6,1
A2-B1,7,1,None,7,1
A2-B1,8,1,None,8,1
A2-B1,9,0,Misplaced,9,1
A2-B1,10,0,Wrong Label,10,1
A2-B2,1,1,None,1,2
A2-B2,2,1,None,2,2
A2-B2,3,1,None,3,2
A2-B2,4,1,None,4,2
A2-B2,5,1,None,5,2
A2-B2,6,0,Misplaced,6,2
A2-B2,7,1,None,7,2
A2-B2,8,1,None,8,2
A2-B2,9,1,None,9,2
A2-B2,10,1,None,10,2
